,uk_house_price_idx,uk_cpi,uk_unemployment,uk_consumer_confidence,uk_real_gdp,uk_gdp_yoy_growth,uk_bond_yield_10y,uk_reer,uk_oil_price,uk_credit,uk_credit_qoq_growth,uk_credit_yoy_growth,uk_industrial_production,uk_ftse_close,uk_ftse_qoq_growth
2011-03-31,90.0450794633518,3.5,7.8,100.6432,566873.0,1.9552087942129814,3.7386,100.51,116.94,6708.465,3.8586833340970905,8.846260932547256,103.8,5908.7998046875,0.15084836168515192
2011-06-30,89.2402198277949,3.8,7.9,99.97083,566601.0,0.7553974105232841,3.4144,99.24,111.71,6821.669,1.6874799227543091,10.858951547152195,103.7,5945.7001953125,0.6244989142418778
2011-09-30,88.4867579429012,4.0,8.3,98.86559,567586.0,0.3406646053541129,2.504,100.58,105.42,6795.748,-0.379980324463125,1.930114386148274,102.8,5128.5,-13.744389533074141
2011-12-31,87.7752107428748,4.0,8.4,98.19037,568056.0,0.37300444389472,2.1828,102.86,108.09,6888.64,1.3669135465294024,6.648105097454438,102.6,5572.2998046875,8.653598609486203
2012-03-31,87.7212807172304,3.1,8.2,98.16206,573416.0,1.1542267844825815,2.323,102.45,123.41,7194.09,4.4341118130719614,7.238988352775189,101.4,5768.5,3.520991371416393
2012-06-30,87.8300655558319,2.5,8.0,98.40488,573112.0,1.1491331642549119,1.7698,104.62,94.17,7126.017,-0.9462350345909032,4.461488823336346,99.9,5571.2001953125,-3.4202965188090517
2012-09-30,88.0365475749816,2.2,7.8,99.03725,579051.0,2.019958208976269,1.7222,106.35,111.36,7481.659,4.9907543021578515,10.093237712758029,98.4,5742.10009765625,3.067559885705462
2012-12-31,87.629372709779,2.4,7.8,99.61678,578215.0,1.7883800188713828,1.8467,106.29,110.8,7483.588,0.025783051593242234,8.636653969433716,99.6,5897.7998046875,2.711546374727991
2013-03-31,87.2664659877145,2.5,7.8,100.2816,579749.0,1.10443377931555,1.9768,100.28,108.46,7036.573,-5.973271110061107,-2.18953335307176,99.4,6411.7001953125,8.713425474641557
2013-06-30,87.3026184648292,2.4,7.7,101.0806,583605.0,1.830881223914349,2.3063,102.69,102.49,7105.439,0.9786866419207119,-0.28877281656779497,100.5,6215.5,-3.0600338340201705
