,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_mom_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_sp500_close,us_sp500_log_ret,us_house_price_idx,us_cpi,us_unemployment,us_consumer_confidence,us_delinquency_rate
2012-09-30,17469.65,2.5737123144880414,1.72,0.17,1.55,81.8,-0.015285994593906225,92.18,-0.0454888918900999,24600.402,0.2789386785499559,1.600730522095306,97.381,15.73,-0.10491540707577864,1440.6700439453125,0.023947118796254597,87.8780672190928,1.697784,8.033334,99.62157,2.82
2012-10-31,17464.505620779695,2.2678767068391226,1.75,0.18,1.57,81.32,-0.005885254848555559,86.23,-0.06672504232812916,24672.4542200474,0.2928904171866753,1.7623496386373727,97.7193,18.6,0.1675918636489692,1412.1600341796875,-0.019987842358050206,88.10325799148444,1.769581774170521,7.945019766423677,99.69557,2.7815133789064617
2012-11-30,17465.984946955323,1.8613352450150389,1.65,0.18,1.47,81.48,0.001965602598459349,88.54,0.02643628233976187,24732.58205223561,0.2437043013716833,1.8864464268802505,98.0777,15.87,-0.15873104618083794,1416.1800537109375,0.0028426724604567314,88.36288151353065,1.8451778771576302,7.863177976513797,99.79404,2.7438269732134812
2012-12-31,17489.852,1.551852007332477,1.72,0.16,1.56,80.51,-0.01197619104671565,91.83,0.0364846143214357,24771.868,0.15884288862930696,1.9515730739900539,98.3101,18.02,0.12705171764187426,1426.18994140625,0.0070433681007134085,88.7078064650898,1.889365,7.8,99.91846,2.71
2013-01-31,17545.25745647555,1.5103198547733676,1.91,0.15,1.76,80.7,0.0023571749640137036,97.65,0.06145061569725722,24781.586270215575,0.039231075410128824,1.9407782880434654,98.3342,14.28,-0.2326222952687536,1498.1099853515625,0.04919779199874611,89.1548136577506,1.8679674253603096,7.769421637421618,100.0623,2.6848321968951425
2013-02-28,17606.512951291603,1.6020500204079857,1.98,0.17,1.81,81.39,0.008513840063046904,92.03,-0.05927504647192249,24781.95812961915,0.001500547218880044,1.915170590229609,98.7941,15.51,0.08262502027700926,1514.6800537109375,0.010999927126354463,89.63395300990165,1.7983891661405178,7.755656286782536,100.2093,2.6652019022992786
2013-03-31,17662.4,1.700868485709428,1.96,0.14,1.8199999999999998,82.28,0.010875649445806254,97.24,0.05506753859715704,24798.356,0.06616858238190915,1.9434924291661604,99.1921,12.7,-0.19988298372390187,1569.18994140625,0.035355294329704884,90.224771370431,1.681829,7.733333,100.3331,2.64
2013-04-30,17687.69373726176,1.666069584831087,1.76,0.11,1.65,81.8,-0.005850821176055061,93.22,-0.04221985850332772,24848.30920002541,0.20143754701082983,2.0743902567103234,99.1065,13.52,0.06256807715027238,1597.5699462890625,0.017924165836652507,90.82970390557085,1.5500813691661477,7.68730819835799,100.4483,2.607276889246158
2013-05-31,17696.985719949153,1.5654516402433094,1.93,0.14,1.79,82.39,0.00718682671879738,91.93,-0.01393487306893156,24924.840687179898,0.30799474740281774,2.2646494931877204,99.1839,16.3,0.1869950371978987,1630.739990234375,0.020550202383511563,91.44156193623232,1.436288792013161,7.616713963248953,100.562,2.5680529818892923
2013-06-30,17709.671,1.5199382041070075,2.3,0.15,2.15,83.06,0.008099167875108863,96.36,0.04706375987100725,25005.821,0.32489801574440147,2.4269201467771895,99.3897,16.86,0.03377884476099277,1606.280029296875,-0.015112928770280075,91.9708217625071,1.39285,7.533333,100.6512,2.53
2013-07-31,17743.008732246108,1.6211574937959439,2.58,0.11,2.47,83.52,0.005522885931721101,105.1,0.08682110013623481,25083.537842338017,0.3107950038433671,2.5171150902224326,99.0814,13.45,-0.22596484652586138,1685.72998046875,0.04827772805178804,92.41275099960541,1.44175401349151,7.438146131464274,100.7047,2.49496716345117
2013-08-31,17795.83858230964,1.87264633562787,2.74,0.13,2.6100000000000003,83.26,-0.003117882367499153,107.98,0.02703374690723548,25161.10619890967,0.30924009627033566,2.5645444982950405,99.6543,17.01,0.23482230035992235,1632.969970703125,-0.03179826803794541,92.75598908791058,1.5232631071016298,7.336417857236978,100.7348,2.46484423493236
2013-09-30,17860.45,2.237022493295515,2.81,0.1,2.71,82.86,-0.004815805117573698,102.36,-0.05345001349855288,25246.055,0.3376195005846405,2.62456280185992,100.161,16.6,-0.024398711045272862,1681.550048828125,0.02931559136642498,93.0129268939342,1.553359,7.233333,100.7475,2.44
2013-10-31,17933.099477493084,2.683121222485929,2.62,0.1,2.52,81.7,-0.014098434783298471,96.29,-0.06113154003939537,25349.74518099971,0.41071835183639216,2.745130074664348,100.082,13.75,-0.18836387124991727,1756.5400390625,0.04362997111283392,93.22311299930783,1.478388184488126,7.124747180071103,100.7524,2.418150307419449
2013-11-30,17990.9278421016,3.0055155591885763,2.72,0.13,2.5900000000000003,82.11,0.005005809854740072,92.55,-0.039615432232686106,25453.574162843543,0.40958589959181335,2.9151509902410666,100.3158,13.7,-0.003642991278501092,1805.81005859375,0.02766328977323541,93.4058342514754,1.3498854054370755,7.024319553000866,100.7579,2.3991807533977245
2013-12-31,18016.147,3.0091449601746367,2.9,0.13,2.77,82.06,-0.0006091247066572933,98.17,0.05895163068492351,25547.606,0.36942488530244955,3.1315280704709014,100.5175,13.72,0.0014587894636600882,1848.3599853515625,0.0232894744820535,93.6104804185167,1.233471,6.933333,100.7515,2.38
